,FacilityName,Violation,DispositionDate,fines,non_alert_disposition_type,license_revoked,alert,Address,City,State,Zip
632,LA COLOMBIANA RESTAURANT,Employee Records Not Available When Requested,10/26/2018,500.0,setttled,0,0,11216 GRANDVIEW AVENUE,WHEATON,MD,20902
633,ABI AZTECA GRILL,Sale To Minor,09/05/2018,1000.0,setttled,0,1,11514 MIDDLEBROOK RD.,GERMANTOWN,MD,20874
634,DA MARCO,Sale To Minor,02/13/2017,1000.0,setttled,0,1,20630 SENECA MEADOWS PKWY,GERMANTOWN,MD,20876
635,PROMENADE MARKET & DELI,Sale To Minor,04/11/2018,1000.0,setttled,0,1,5225 POOKS HILL ROAD,BETHESDA,MD,20814
636,RIVERSIDE LOUNGE,Storage,07/24/2018,800.0,setttled,0,1,11272 GEORGIA AVENUE,WHEATON,MD,20902
637,HECKMAN'S DELICATESSEN,Sale To Minor,05/01/2018,1000.0,setttled,0,1,4914 CORDELL AVENUE,BETHESDA,MD,20814
638,"BEER, WINE & CO",Sale To Minor,01/10/2017,1000.0,setttled,0,1,7029 WISCONSIN AVENUE,CHEVY CHASE,MD,20815
639,NOT YOUR AVERAGE JOE'S,Sale To Minor,12/06/2017,1000.0,setttled,0,1,8661 COLESVILLE ROAD,SILVER SPRING,MD,20910
640,B&B BEER AND WINE,Sale To Minor,10/08/2018,1000.0,setttled,0,1,8403 SNOUFFER SCHOOL RD.,GAITHERSBURG,MD,20879
641,ASI ES MI TIERRA,Sale To Minor,06/08/2017,1000.0,setttled,0,1,2559 ENNALLS AVENUE,WHEATON,MD,20902
642,OGEI'S CHICKEN & SUBS,Of The Neighborhood,05/31/2016,0.0,hearing,1,0,293 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878
643,CLYDES TOWER OAKS LODGE,Alcohol Awareness Certified Person Not On Premises,10/20/2017,100.0,setttled,0,1,2 PRESERVE PKWY.,ROCKVILLE,MD,20852
644,COPPER CANYON GRILL,Failed To Label Products From Dispensing Apparatus,04/11/2017,500.0,setttled,0,1,100 BOARDWALK PLACE,GAITHERSBURG,MD,20878
645,MAMMA LUCIA,License Not Properly Displayed,12/05/2017,100.0,setttled,0,1,4916 ELM STREET,BETHESDA,MD,20814
646,GENTLEMAN JIM'S RESTAURANT,License Not Properly Displayed,11/09/2017,100.0,setttled,0,1,18917 EARHART COURT,GAITHERSBURG,MD,20879
647,LAHINCH TAVERN & GRILL,Sale To Minor,02/13/2017,333.0,setttled,0,1,7747 TUCKERMAN LANE,POTOMAC,MD,20854
648,ARMANDS CHICAGO PIZZERIA,Sale To Minor,02/09/2016,2500.0,setttled,0,1,1909 SEMINARY ROAD,SILVER SPRING,MD,20910
649,OWENS ORDINARY,Records Invoice Violation,09/14/2018,500.0,setttled,0,1,11820 TRADE STREET,NORTH BETHESDA,MD,20852
650,GHAR-E-KABAB,Sale To Minor,02/08/2018,1000.0,setttled,0,1,944 WAYNE AVENUE,SILVER SPRING,MD,20910
651,29 CONVENIENCE MART,Sale To Minor,02/22/2016,2500.0,setttled,0,1,10755 COLESVILLE ROAD,SILVER SPRING,MD,20901
652,FISH TACO,Sale To Minor,01/23/2017,1000.0,setttled,0,1,7015 WISCONSIN AVENUE,CHEVY CHASE,MD,20815
653,ARAT KILO MARKET AND RESTAURANT,Sale To Minor,01/10/2018,1000.0,setttled,0,1,818 EASLEY STREET,SILVER SPRING,MD,20910
654,MIX BAR & GRILLE,Sale To Minor,12/01/2017,1000.0,setttled,0,1,9812 FALLS RD,POTOMAC,MD,20854
655,MISO CAFE,Alcohol Awareness Certified Person Not On Premises,10/09/2017,500.0,setttled,0,1,33 MARYLAND AVENUE UNIT E,ROCKVILLE,MD,20850
656,BECLAWS,Sale To Minor,05/09/2017,1000.0,setttled,0,1,2404 UNIVERSITY BOULEVARD,SILVER SPRING,MD,20902
